-9.7411	-7.4715	-1.9818	2.8542	2.3180	-2.5771	-5.6030	-9.0498
-12.7998	-6.9897	-3.2678	2.3180	2.5888	-2.9693	-5.9068	-8.8167
-13.8206	-7.8245	-3.1310	2.6889	2.8114	-2.8211	-8.6724	-11.2800
-10.1574	-8.1438	-2.7847	2.9004	2.7928	-2.8408	-6.2926	-8.4610
-10.9012	-7.6216	-3.6054	2.3851	2.2088	-2.4936	-5.8079	-13.1199
-9.7297	-7.4043	-3.3016	2.3190	2.1617	-3.1681	-7.0548	-11.2945
-10.0135	-7.0109	-2.3620	3.1791	2.7280	-2.6923	-6.5606	-11.3946
-9.2240	-7.4861	-3.0706	1.8982	1.9421	-3.5742	-6.3968	-8.9249
-10.2804	-7.3278	-2.8350	2.4939	2.5971	-3.2050	-7.8186	-10.6218
-10.2519	-7.0104	-2.3125	2.6209	2.7710	-3.1483	-6.9033	-8.9365
-8.5583	-7.9142	-3.4828	2.3872	2.8018	-1.9913	-6.5180	-11.5764
-11.7795	-7.3221	-2.7733	2.5408	2.2769	-3.3888	-6.7507	-9.5044
-9.6842	-7.9085	-2.9803	2.2712	2.1932	-1.9569	-5.5819	-11.2959
-8.8127	-7.6394	-2.8058	2.4409	2.2619	-2.0464	-5.9635	-9.4209
-9.5639	-6.4447	-1.8529	2.8181	2.3740	-2.6916	-6.5351	-11.0168
-8.2597	-5.9968	-2.9189	2.6257	2.8807	-3.1804	-6.5378	-9.4877
-11.2101	-5.9943	-2.4285	2.5591	1.9774	-3.4421	-6.9647	-10.9032
-9.6885	-6.1410	-2.4885	1.9640	2.1169	-3.0403	-7.8607	-9.1899
-9.0372	-6.2639	-2.0845	2.7479	2.2458	-2.8195	-6.5011	-9.0637
-8.1619	-5.7713	-2.6690	1.8621	1.9035	-3.5627	-7.1534	-9.4483
-10.0531	-7.5727	-2.1265	2.6396	2.0066	-3.5477	-6.2619	-9.9402
-9.3801	-7.1492	-2.3686	3.0533	2.3739	-2.9611	-7.0689	-10.0024
-9.5810	-7.5515	-3.4499	2.3124	2.7022	-2.3708	-7.7555	-12.3795
-9.0613	-7.4486	-3.5876	2.1312	2.2610	-3.4463	-6.8915	-9.0237
-8.9922	-5.4057	-1.8282	2.8134	2.9539	-1.8068	-5.5703	-8.9262
-9.1191	-7.6631	-3.2374	2.1860	2.0988	-3.1901	-6.9989	-8.9796
-9.2209	-6.7217	-2.6606	2.6498	2.8987	-2.2186	-7.6841	-9.9027
-13.8440	-10.2017	-3.1152	2.1184	1.7536	-2.9641	-5.5428	-9.1003
-10.3221	-7.6470	-2.7277	2.5271	2.7444	-3.1187	-7.3455	-10.0714
-11.2703	-5.8418	-2.9684	2.1092	2.3828	-2.4572	-8.4288	-12.0702
-10.8008	-7.1799	-2.9420	1.8357	2.3705	-2.6285	-7.6776	-9.6405
-12.7126	-8.3951	-2.5603	3.1946	2.8287	-2.2297	-7.2280	-11.4025
-11.2083	-7.8048	-1.7832	3.0340	2.3339	-3.1236	-5.1461	-9.4877
-8.2207	-6.4438	-3.5294	2.1594	2.3004	-2.4824	-6.9693	-11.3885
-11.0274	-7.4254	-2.6798	2.2422	2.2238	-3.1957	-9.5472	-11.2344
-9.5633	-6.4887	-2.0599	2.6752	2.6901	-2.3208	-5.7781	-9.3195
-10.2761	-5.7642	-2.9634	2.0668	2.5099	-2.1876	-5.8615	-13.2349
-11.7833	-7.3576	-2.4389	2.5245	2.5839	-3.4622	-7.8546	-9.7221
-11.0151	-6.8987	-2.9179	2.7871	3.0869	-2.4898	-8.2684	-9.5039
-10.0370	-6.4282	-2.1574	1.8846	1.9577	-2.5209	-9.0415	-13.3194
-10.1197	-9.1375	-2.4841	2.5295	2.2354	-2.1914	-5.6090	-10.3320
-10.5216	-7.2677	-3.5246	2.2012	2.3479	-3.3908	-6.0193	-11.2418
-13.4514	-7.1585	-2.3916	3.0861	2.8914	-3.2057	-8.1820	-10.4968
-8.6875	-7.1746	-3.4074	2.9261	3.1343	-2.8814	-8.1518	-11.5378
-10.2711	-6.4525	-2.4358	2.3226	2.1467	-2.1985	-4.9346	-11.5578
