-6.7897	1.2080	1.0518	-5.8145
-5.7732	1.3120	1.6212	-5.4850
-5.7050	1.7928	1.5503	-5.8836
-6.4576	1.6226	1.7532	-6.3850
-6.8556	1.3919	1.5886	-6.1738
-6.4677	1.8320	1.8016	-5.9894
-6.7888	1.2842	1.1952	-5.8210
-6.1032	1.5597	1.4791	-6.1511
-5.4816	1.5791	1.8693	-5.0555
-5.7406	1.6297	1.8182	-5.8058
-6.4541	1.7336	1.7526	-5.9483
-6.2324	1.2848	1.2582	-5.9236
-5.2796	1.3328	1.5612	-5.5303
-4.9053	1.7045	1.4996	-5.9223
-7.2305	1.5430	1.5324	-5.5484
-6.0446	1.2311	1.3059	-6.3105
-5.7368	1.2471	1.3607	-5.3408
-5.8167	1.1877	1.2254	-5.5374
-5.9465	1.8215	1.7931	-5.7101
-5.9074	1.1937	1.1971	-4.9717
-5.8462	1.7576	1.9400	-6.5611
-5.4957	1.7263	1.8997	-4.9775
-5.8728	1.4614	1.6438	-6.8621
-6.3455	1.2444	1.3614	-5.8894
-5.4878	1.6776	1.5468	-5.8825
-5.4845	0.9372	1.4398	-5.6010
-5.5769	1.3470	1.2393	-5.3422
-6.1080	1.7367	1.7399	-5.6232
-6.0870	1.1249	1.5398	-5.0982
-6.0020	1.5180	1.5668	-7.0771
-5.6886	1.2566	1.5208	-6.0349
-6.3093	1.3001	1.1836	-5.1817
-5.5189	1.9227	1.9120	-5.8181
-6.2454	1.9527	1.7154	-5.5797
-5.4338	1.3844	1.2207	-6.1867
-5.9904	1.8318	1.6758	-5.2233
-5.6860	1.5348	1.7023	-5.3401
-6.0150	1.4161	1.5834	-6.3971
-5.2899	1.7673	1.5261	-5.3472
-6.0756	1.4284	1.4602	-6.8069
-5.1929	1.3324	1.5782	-5.9070
-5.9238	1.3957	1.4488	-5.4785
-6.5391	1.5062	1.4288	-5.9671
-6.2393	1.2098	1.1620	-5.7167
-6.0343	1.3438	1.0866	-6.1945
-5.4300	1.3426	1.2377	-5.4703
-6.3479	1.0587	1.0439	-7.0641
-5.8198	1.4778	1.4646	-5.3575
-5.7719	1.7315	1.7484	-5.5480
-5.9254	1.5571	1.1133	-6.2324
-5.7940	1.1951	1.3035	-6.5158
-6.6236	1.1321	1.1638	-6.3287
-5.4736	1.7920	1.6889	-5.4477
-5.5334	1.4387	1.5894	-6.2987
-5.8722	1.6261	1.5560	-5.7704
-5.1153	1.1818	1.3483	-5.8388
-5.8477	1.4647	1.5396	-6.7488
-5.9138	1.7612	1.4684	-6.2487
-5.9268	1.7738	1.7722	-6.7060
-6.6776	1.2178	1.0438	-5.5494
-5.5196	1.9088	1.6199	-6.7474
-5.7648	1.3252	1.1198	-5.6364
-6.8909	1.5414	1.5098	-5.2466
-6.5528	1.2645	1.7157	-4.9271
-6.4906	1.1046	1.2294	-6.1148
-5.4345	1.9319	2.0982	-5.4037
-5.5964	1.3526	1.6562	-6.4242
-4.6321	1.8344	1.5438	-6.3903
-5.8822	1.4710	1.8099	-5.7928
-5.5329	1.6016	1.3752	-5.4403
-5.2477	1.3399	1.1253	-5.6734
-5.9823	1.3489	1.3182	-6.5221
-5.8320	1.5652	1.6020	-5.3629
-5.3712	1.7171	1.5930	-6.2117
-5.7272	1.5028	1.3196	-6.3369
-5.4361	1.2879	1.2463	-5.8553
-5.9305	1.3957	1.2833	-5.9125
-5.6880	1.4233	1.2633	-5.6475
-6.8316	1.0035	0.9813	-6.0051
-6.0623	1.3183	1.4586	-6.0333
-6.3211	1.3676	1.1765	-6.2037
-5.9181	1.2262	1.4272	-6.1821
-5.5894	1.3274	1.5183	-6.8496
-6.6175	1.0265	1.2074	-5.3155
-5.7252	1.7959	1.9389	-4.9168
-5.9824	1.1349	0.9505	-6.7228
-6.2542	1.1090	1.3067	-6.5604
-5.9615	1.3908	0.9715	-6.7116
-5.8249	1.3687	1.4055	-5.4700
-6.0826	1.1229	0.9685	-6.4505
-5.5426	1.2996	1.3430	-6.4248
-5.8634	1.0641	1.4463	-4.9080
-6.5725	1.0701	1.3099	-6.2439
-5.8536	1.6545	1.8166	-6.4797
-5.8246	2.0069	1.8531	-6.3308
-5.6243	1.6942	1.3787	-6.8317
-5.1498	1.5430	1.6159	-5.6910
-7.1171	1.4426	1.4677	-5.8598
-5.6299	1.6378	1.7360	-6.1424
-6.3231	1.5585	1.6900	-5.4644
-5.9557	1.1690	1.3180	-5.6214
-5.4359	1.6145	1.6260	-6.2787
-5.4325	1.6650	1.4791	-5.6368
-6.1082	1.6174	1.3228	-6.4750
-6.0254	1.7328	2.1059	-5.5045
-5.8830	1.2001	1.4673	-5.7880
-5.7401	1.1091	1.0262	-6.3356
-5.4544	1.6438	1.1745	-5.6600
-5.9175	1.4549	1.4524	-5.6964
-6.3237	1.3345	1.3558	-5.8614
-5.7757	1.4283	1.2714	-6.0232
-6.1574	1.6790	1.8473	-6.3449
-5.7529	1.5554	1.4025	-5.8674
-5.8161	1.2641	1.3686	-5.2986
-5.2157	1.7954	1.4467	-6.2557
-6.7494	1.5167	1.7050	-6.1192
-6.1917	1.1990	1.2642	-5.6859
-6.1390	1.5464	1.7393	-6.0935
-5.8300	1.7726	1.6930	-6.5554
-6.0185	1.5591	1.7974	-6.2460
-5.4460	1.3793	1.5498	-5.5065
-6.0388	1.5199	1.5609	-5.3236
-6.6483	1.7600	1.5370	-6.1412
-5.1280	1.3525	1.3099	-5.3579
-5.8494	1.1290	1.0618	-5.8158
-5.2322	1.4615	1.5235	-6.0391
-6.0163	1.7707	1.6109	-5.6799
-5.9160	1.2504	1.3390	-5.3511
-6.8291	1.1269	0.9865	-5.6123
-6.0372	1.1063	1.2637	-5.6165
-6.0417	1.5832	1.3473	-6.1859
-5.6657	1.7104	1.6719	-5.1122
-5.9845	1.5165	1.4630	-6.8426
-6.8978	1.0748	1.0956	-6.2983
-5.8611	1.6989	1.6037	-5.6531
-4.9930	1.2821	1.2802	-5.8447
-5.8205	1.3575	1.5064	-6.0360
-5.8398	1.2689	1.3178	-6.7681
-5.8718	1.5325	1.6157	-5.8907
-5.3602	1.3027	1.3064	-5.7329
-6.4580	1.2563	1.5520	-5.2274
-6.2146	1.3084	1.4274	-6.6397
-5.6383	1.4701	1.3150	-5.5008
-6.2113	1.3026	1.5131	-5.4723
-6.1056	1.6199	1.3594	-5.8140
-5.6859	1.4195	1.5849	-5.2680
-6.4557	1.2804	1.5722	-5.5542
-5.1366	1.3253	1.1455	-6.1632
